thresholdstart:625.72, thresholdend:3129.53, # hashes 4, # space: 133328 # cm buckets 8333 - loss 0.0 time: 0.020928382873535156 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 4, # space: 133328 # cm buckets 8333 - loss 0.47033527826847243 time: 0.13959503173828125 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 4, # space: 133328 # cm buckets 8333 - loss 25.22997797076119 time: 3.102778911590576 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 1, # space: 200000 # cm buckets 50000 - loss 0 time: 0.03684353828430176 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 1, # space: 200000 # cm buckets 50000 - loss 1.3530885162385906 time: 0.030289888381958008 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 1, # space: 200000 # cm buckets 50000 - loss 0.0 time: 0.02799391746520996 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 1, # space: 200000 # cm buckets 50000 - loss 0.0 time: 0.025136470794677734 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 1, # space: 200000 # cm buckets 50000 - loss 1.0965508627304035 time: 0.08593392372131348 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 1, # space: 200000 # cm buckets 50000 - loss 5.497638684071586 time: 2.0039868354797363 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 2, # space: 200000 # cm buckets 25000 - loss 0 time: 0.03411078453063965 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 2, # space: 200000 # cm buckets 25000 - loss 0.0 time: 0.028061866760253906 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 2, # space: 200000 # cm buckets 25000 - loss 0.0 time: 0.016434192657470703 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 2, # space: 200000 # cm buckets 25000 - loss 0.0 time: 0.029361724853515625 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 2, # space: 200000 # cm buckets 25000 - loss 0.3916457006227361 time: 0.09196949005126953 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 2, # space: 200000 # cm buckets 25000 - loss 8.49577075026854 time: 2.256589412689209 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 3, # space: 199992 # cm buckets 16666 - loss 0 time: 0.04094982147216797 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 3, # space: 199992 # cm buckets 16666 - loss 0.0 time: 0.029088497161865234 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 3, # space: 199992 # cm buckets 16666 - loss 0.0 time: 0.040288686752319336 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 3, # space: 199992 # cm buckets 16666 - loss 0.0 time: 0.0288238525390625 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 3, # space: 199992 # cm buckets 16666 - loss 0.21594133076387773 time: 0.1224367618560791 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 3, # space: 199992 # cm buckets 16666 - loss 11.991148251315382 time: 2.8499274253845215 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 4, # space: 200000 # cm buckets 12500 - loss 0 time: 0.030274629592895508 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 4, # space: 200000 # cm buckets 12500 - loss 0.0 time: 0.020116329193115234 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 4, # space: 200000 # cm buckets 12500 - loss 0.0 time: 0.0208127498626709 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 4, # space: 200000 # cm buckets 12500 - loss 0.0 time: 0.03943657875061035 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 4, # space: 200000 # cm buckets 12500 - loss 0.11778455828560212 time: 0.12488818168640137 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 4, # space: 200000 # cm buckets 12500 - loss 15.713466965244779 time: 3.205319404602051 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 1, # space: 266664 # cm buckets 66666 - loss 0 time: 0.027834177017211914 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 1, # space: 266664 # cm buckets 66666 - loss 0.0 time: 0.02529430389404297 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 1, # space: 266664 # cm buckets 66666 - loss 0.219825939291021 time: 0.03715062141418457 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 1, # space: 266664 # cm buckets 66666 - loss 0.0 time: 0.024764299392700195 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 1, # space: 266664 # cm buckets 66666 - loss 0.8732580340095998 time: 0.07614850997924805 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 1, # space: 266664 # cm buckets 66666 - loss 4.124004587907587 time: 2.0683021545410156 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 2, # space: 266664 # cm buckets 33333 - loss 0 time: 0.03715872764587402 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 2, # space: 266664 # cm buckets 33333 - loss 0.0 time: 0.02545022964477539 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 2, # space: 266664 # cm buckets 33333 - loss 0.0 time: 0.024648666381835938 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 2, # space: 266664 # cm buckets 33333 - loss 0.0 time: 0.019999980926513672 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 2, # space: 266664 # cm buckets 33333 - loss 0.18894420355798228 time: 0.1079411506652832 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 2, # space: 266664 # cm buckets 33333 - loss 6.0848872139385 time: 2.2983829975128174 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 3, # space: 266664 # cm buckets 22222 - loss 0 time: 0.04490518569946289 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 3, # space: 266664 # cm buckets 22222 - loss 0.0 time: 0.045267343521118164 sec 
